run_id,ticker,strategy_id,block_label,lookback_days,cadence_run,share_count,max_concurrent,data_source,fill_model,data_window_start,data_window_end,cadence_leg,chain_id,chain_position,is_initial_entry,leg_index_in_chain,entry_date,spot_at_entry,strike,expiry_date,dte_at_entry,distance_pct_otm,mid_entry,premium_collected_per_contract,iv_at_entry,delta_at_entry,ann_yield_pct,regime_at_entry,close_date,buyback_mid,expiry_close,outcome,exit_type,days_held,pnl_dollar,pnl_per_share,is_winning,capped_upside_dollar,is_assignment_severe
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,f794ac6ac756,1,FALSE,1,2023-04-21,412.20,422.00,2023-05-26,35,2.377,3.2450,324.50,12.22,0.3157,8.21,SELL PREMIUM,2023-04-26,1.1500,,closed_early_50pct,early,5,209.50,2.0950,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,83009ee16963,0,TRUE,0,2023-04-28,415.93,426.00,2023-06-02,35,2.421,2.8100,281.00,11.24,0.2957,7.05,SELL PREMIUM,2023-05-03,1.0800,,closed_early_50pct,early,5,173.00,1.7300,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,cc48cefc7527,0,TRUE,0,2023-04-28,415.93,426.00,2023-06-02,35,2.421,2.8100,281.00,11.24,0.2957,7.05,SELL PREMIUM,2023-05-03,1.0800,,closed_early_50pct,early,5,173.00,1.7300,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,ce8b797a33fa,0,TRUE,0,2023-05-05,412.63,423.00,2023-06-09,35,2.513,2.9500,295.00,12.22,0.3056,7.46,SELL PREMIUM,2023-05-16,1.1550,,closed_early_50pct,early,11,179.50,1.7950,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,df0c7301dfca,0,TRUE,0,2023-05-05,412.63,423.00,2023-06-09,35,2.513,2.9500,295.00,12.22,0.3056,7.46,SELL PREMIUM,2023-05-16,1.1550,,closed_early_50pct,early,11,179.50,1.7950,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,25dd86a89d50,0,TRUE,0,2023-05-19,418.62,428.00,2023-06-23,35,2.241,2.6850,268.50,10.27,0.2988,6.69,SELL PREMIUM,2023-05-24,1.0300,,closed_early_50pct,early,5,165.50,1.6550,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,d8ff7c578866,0,TRUE,0,2023-05-19,418.62,428.00,2023-06-23,35,2.241,2.6850,268.50,10.27,0.2988,6.69,SELL PREMIUM,2023-05-24,1.0300,,closed_early_50pct,early,5,165.50,1.6550,TRUE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,9430675ac044,0,TRUE,0,2023-05-26,420.02,430.00,2023-06-30,35,2.376,2.6850,268.50,11.24,0.3025,6.67,SELL PREMIUM,2023-06-09,4.3800,,rolled_at_21_dte,early,14,-169.50,-1.6950,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,regime_gated,2a8b988ab6c8,0,TRUE,0,2023-05-26,420.02,430.00,2023-06-30,35,2.376,2.6850,268.50,11.24,0.3025,6.67,SELL PREMIUM,2023-06-09,4.3800,,rolled_at_21_dte,early,14,-169.50,-1.6950,FALSE,0.00,FALSE
SPY:wheel:1075:both:s100:20260426T145443:ceb21f,SPY,wheel,2023-2025 partial AI bull,1075,both,100,1,duckdb,mid,2023-01-02,2025-12-12,unconditional,9430675ac044,1,FALSE,1,2023-06-09,429.90,439.00,2023-07-14,35,2.117,2.1900,219.00,9.29,0.2931,5.31,UNKNOWN,2023-06-15,7.7400,,rolled_up_and_out,early,6,-555.00,-5.5500,FALSE,0.00,FALSE
